
=== Stutter monitor started at 2026-05-29T09:57:42 | user_dir=C:/Users/admin/AppData/Roaming/Godot/app_userdata/高能⭐宇宙⭐大爆炸 ===
2026-05-29T09:59:13 | reason=single_frame_over_budget label= fps=30.0 frames=8 seconds=0.043 max_frame_ms=190.61 budget_elapsed_ms=0.39 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=0 projectiles=0 nodes=223 score=0 hp=100 elapsed=0.62
2026-05-29T09:59:14 | reason=single_frame_over_budget label= fps=30.0 frames=24 seconds=0.109 max_frame_ms=190.61 budget_elapsed_ms=0.53 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=0 projectiles=0 nodes=659 score=0 hp=100 elapsed=0.89
2026-05-29T09:59:14 | reason=single_frame_over_budget label= fps=30.0 frames=26 seconds=0.041 max_frame_ms=190.61 budget_elapsed_ms=0.52 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=13 projectiles=0 nodes=640 score=0 hp=100 elapsed=0.99
2026-05-29T09:59:14 | reason=single_frame_over_budget label= fps=30.0 frames=28 seconds=0.058 max_frame_ms=190.61 budget_elapsed_ms=1.02 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=13 projectiles=0 nodes=904 score=0 hp=100 elapsed=1.06
2026-05-29T09:59:21 | reason=single_frame_over_budget label= fps=30.0 frames=29 seconds=7.747 max_frame_ms=7746.76 budget_elapsed_ms=0.75 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=14 projectiles=0 nodes=1019 score=0 hp=100 elapsed=1.11
2026-05-29T09:59:21 | reason=low_fps_window label= fps=3.4 frames=29 seconds=8.526 max_frame_ms=7746.76 budget_elapsed_ms=2.14 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=14 projectiles=0 nodes=1019 score=0 hp=100 elapsed=1.11
2026-05-29T09:59:22 | reason=single_frame_over_budget label= fps=30.0 frames=2 seconds=0.070 max_frame_ms=70.40 budget_elapsed_ms=3.24 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=14 projectiles=0 nodes=1013 score=0 hp=100 elapsed=1.33
2026-05-29T09:59:22 | reason=single_frame_over_budget label= fps=30.0 frames=8 seconds=0.036 max_frame_ms=70.40 budget_elapsed_ms=1.09 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=14 projectiles=0 nodes=1013 score=0 hp=100 elapsed=1.44
2026-05-29T09:59:25 | reason=single_frame_over_budget label= fps=30.0 frames=35 seconds=0.041 max_frame_ms=40.83 budget_elapsed_ms=0.68 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=14 projectiles=0 nodes=1021 score=0 hp=100 elapsed=4.86
2026-05-29T09:59:52 | reason=frame_budget_defer label=ExploreRoom.after_pending_spawns fps=0.0 frames=0 seconds=0.315 max_frame_ms=315.04 budget_elapsed_ms=315.84 deferred=1 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=20 projectiles=0 nodes=1045 score=0 hp=100 elapsed=31.24
2026-05-29T09:59:52 | reason=single_frame_over_budget label= fps=30.0 frames=44 seconds=0.333 max_frame_ms=332.64 budget_elapsed_ms=1.00 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=20 projectiles=0 nodes=1045 score=0 hp=100 elapsed=31.38
2026-05-29T09:59:52 | reason=frame_budget_defer label=ExploreRoom.after_pending_spawns fps=0.0 frames=0 seconds=0.318 max_frame_ms=318.46 budget_elapsed_ms=319.15 deferred=1 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1049 score=0 hp=100 elapsed=31.39
2026-05-29T09:59:52 | reason=single_frame_over_budget label= fps=30.0 frames=2 seconds=0.338 max_frame_ms=338.15 budget_elapsed_ms=0.69 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1049 score=0 hp=100 elapsed=31.54
2026-05-29T09:59:55 | reason=single_frame_over_budget label= fps=30.0 frames=38 seconds=0.038 max_frame_ms=37.96 budget_elapsed_ms=0.68 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1049 score=0 hp=100 elapsed=33.91
2026-05-29T09:59:57 | reason=frame_budget_defer label=DesignedEnemy.build_obstacle_path fps=0.0 frames=0 seconds=0.129 max_frame_ms=128.70 budget_elapsed_ms=129.39 deferred=1 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=5 nodes=1065 score=0 hp=100 elapsed=36.41
2026-05-29T09:59:57 | reason=single_frame_over_budget label= fps=30.0 frames=10 seconds=0.326 max_frame_ms=326.04 budget_elapsed_ms=0.69 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=5 nodes=1064 score=0 hp=100 elapsed=36.55
2026-05-29T09:59:57 | reason=single_frame_over_budget label= fps=30.0 frames=11 seconds=0.049 max_frame_ms=326.04 budget_elapsed_ms=0.69 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=5 nodes=1064 score=0 hp=100 elapsed=36.61
2026-05-29T09:59:57 | reason=single_frame_over_budget label= fps=30.0 frames=12 seconds=0.036 max_frame_ms=326.04 budget_elapsed_ms=0.69 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1068 score=0 hp=100 elapsed=36.64
2026-05-29T09:59:58 | reason=single_frame_over_budget label= fps=30.0 frames=16 seconds=0.265 max_frame_ms=326.04 budget_elapsed_ms=1.32 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1067 score=0 hp=100 elapsed=36.89
2026-05-29T09:59:58 | reason=single_frame_over_budget label= fps=30.0 frames=17 seconds=0.056 max_frame_ms=326.04 budget_elapsed_ms=0.70 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1071 score=0 hp=100 elapsed=36.94
2026-05-29T09:59:58 | reason=low_fps_window label= fps=17.0 frames=17 seconds=1.002 max_frame_ms=326.04 budget_elapsed_ms=2.31 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1071 score=0 hp=100 elapsed=36.94
2026-05-29T09:59:58 | reason=single_frame_over_budget label= fps=30.0 frames=1 seconds=0.048 max_frame_ms=48.10 budget_elapsed_ms=0.74 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1071 score=0 hp=100 elapsed=36.99
2026-05-29T09:59:58 | reason=single_frame_over_budget label= fps=30.0 frames=2 seconds=0.035 max_frame_ms=48.10 budget_elapsed_ms=0.72 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1070 score=0 hp=100 elapsed=37.03
2026-05-29T09:59:58 | reason=single_frame_over_budget label= fps=30.0 frames=3 seconds=0.058 max_frame_ms=57.56 budget_elapsed_ms=1.05 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1069 score=0 hp=100 elapsed=37.07
2026-05-29T09:59:59 | reason=single_frame_over_budget label= fps=30.0 frames=33 seconds=0.040 max_frame_ms=57.56 budget_elapsed_ms=0.77 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=4 nodes=1065 score=0 hp=100 elapsed=37.67
2026-05-29T10:00:01 | reason=single_frame_over_budget label= fps=30.0 frames=13 seconds=0.043 max_frame_ms=43.30 budget_elapsed_ms=1.36 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=8 nodes=1073 score=0 hp=100 elapsed=40.29
2026-05-29T10:00:01 | reason=single_frame_over_budget label= fps=30.0 frames=14 seconds=0.040 max_frame_ms=43.30 budget_elapsed_ms=2.86 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=9 nodes=1077 score=0 hp=100 elapsed=40.33
2026-05-29T10:00:01 | reason=single_frame_over_budget label= fps=30.0 frames=15 seconds=0.073 max_frame_ms=72.95 budget_elapsed_ms=1.00 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=9 nodes=1077 score=0 hp=100 elapsed=40.41
2026-05-29T10:00:02 | reason=frame_budget_defer label=DesignedEnemy.build_obstacle_path fps=0.0 frames=0 seconds=0.065 max_frame_ms=65.03 budget_elapsed_ms=65.72 deferred=1 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1077 score=0 hp=100 elapsed=40.67
2026-05-29T10:00:02 | reason=single_frame_over_budget label= fps=30.0 frames=28 seconds=0.246 max_frame_ms=245.72 budget_elapsed_ms=0.77 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1073 score=0 hp=100 elapsed=40.81
2026-05-29T10:00:02 | reason=single_frame_over_budget label= fps=30.0 frames=29 seconds=0.057 max_frame_ms=245.72 budget_elapsed_ms=0.71 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1090 score=0 hp=100 elapsed=40.86
2026-05-29T10:00:02 | reason=single_frame_over_budget label= fps=30.0 frames=30 seconds=0.043 max_frame_ms=245.72 budget_elapsed_ms=1.22 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1090 score=0 hp=100 elapsed=40.91
2026-05-29T10:00:02 | reason=low_fps_window label= fps=29.1 frames=30 seconds=1.030 max_frame_ms=245.72 budget_elapsed_ms=3.14 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1090 score=0 hp=100 elapsed=40.91
2026-05-29T10:00:02 | reason=single_frame_over_budget label= fps=30.0 frames=1 seconds=0.045 max_frame_ms=45.32 budget_elapsed_ms=1.47 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1089 score=0 hp=100 elapsed=40.96
2026-05-29T10:00:02 | reason=single_frame_over_budget label= fps=30.0 frames=2 seconds=0.040 max_frame_ms=45.32 budget_elapsed_ms=0.77 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1086 score=0 hp=100 elapsed=41.00
2026-05-29T10:00:02 | reason=frame_budget_defer label=DesignedEnemy.build_obstacle_path fps=0.0 frames=0 seconds=0.082 max_frame_ms=81.70 budget_elapsed_ms=82.41 deferred=1 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1086 score=0 hp=100 elapsed=41.00
2026-05-29T10:00:02 | reason=single_frame_over_budget label= fps=30.0 frames=3 seconds=0.247 max_frame_ms=246.71 budget_elapsed_ms=0.80 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1085 score=0 hp=100 elapsed=41.14
2026-05-29T10:00:02 | reason=single_frame_over_budget label= fps=30.0 frames=4 seconds=0.036 max_frame_ms=246.71 budget_elapsed_ms=0.79 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1086 score=0 hp=100 elapsed=41.18
2026-05-29T10:00:02 | reason=single_frame_over_budget label= fps=30.0 frames=5 seconds=0.039 max_frame_ms=246.71 budget_elapsed_ms=0.71 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1086 score=0 hp=100 elapsed=41.21
2026-05-29T10:00:03 | reason=frame_budget_defer label=DesignedEnemy.build_obstacle_path fps=0.0 frames=0 seconds=0.084 max_frame_ms=83.58 budget_elapsed_ms=84.28 deferred=1 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1084 score=0 hp=100 elapsed=41.35
2026-05-29T10:00:03 | reason=single_frame_over_budget label= fps=30.0 frames=10 seconds=0.243 max_frame_ms=246.71 budget_elapsed_ms=0.70 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1083 score=0 hp=100 elapsed=41.49
2026-05-29T10:00:03 | reason=single_frame_over_budget label= fps=30.0 frames=13 seconds=0.035 max_frame_ms=246.71 budget_elapsed_ms=0.69 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1067 score=0 hp=100 elapsed=41.60
2026-05-29T10:00:03 | reason=single_frame_over_budget label= fps=30.0 frames=16 seconds=0.251 max_frame_ms=250.50 budget_elapsed_ms=0.86 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1066 score=0 hp=100 elapsed=41.81
2026-05-29T10:00:03 | reason=low_fps_window label= fps=13.5 frames=16 seconds=1.187 max_frame_ms=250.50 budget_elapsed_ms=2.43 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1066 score=0 hp=100 elapsed=41.81
2026-05-29T10:00:03 | reason=single_frame_over_budget label= fps=30.0 frames=1 seconds=0.055 max_frame_ms=54.95 budget_elapsed_ms=0.83 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1070 score=0 hp=100 elapsed=41.87
2026-05-29T10:00:03 | reason=single_frame_over_budget label= fps=30.0 frames=2 seconds=0.040 max_frame_ms=54.95 budget_elapsed_ms=1.31 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1069 score=0 hp=100 elapsed=41.91
2026-05-29T10:00:03 | reason=single_frame_over_budget label= fps=30.0 frames=3 seconds=0.041 max_frame_ms=54.95 budget_elapsed_ms=0.80 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1068 score=0 hp=100 elapsed=41.95
2026-05-29T10:00:03 | reason=single_frame_over_budget label= fps=30.0 frames=4 seconds=0.080 max_frame_ms=80.17 budget_elapsed_ms=0.72 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=7 nodes=1068 score=0 hp=100 elapsed=42.03
2026-05-29T10:00:04 | reason=single_frame_over_budget label= fps=30.0 frames=31 seconds=0.036 max_frame_ms=80.17 budget_elapsed_ms=0.73 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=6 nodes=1067 score=0 hp=100 elapsed=42.57
2026-05-29T10:00:07 | reason=single_frame_over_budget label= fps=30.0 frames=17 seconds=0.581 max_frame_ms=580.71 budget_elapsed_ms=0.72 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=4 nodes=1060 score=0 hp=100 elapsed=45.29
2026-05-29T10:00:07 | reason=low_fps_window label= fps=21.0 frames=21 seconds=1.001 max_frame_ms=580.71 budget_elapsed_ms=0.88 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=3 nodes=1056 score=0 hp=100 elapsed=45.38
2026-05-29T10:00:08 | reason=single_frame_over_budget label= fps=30.0 frames=12 seconds=0.487 max_frame_ms=486.54 budget_elapsed_ms=0.94 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=2 nodes=1053 score=0 hp=100 elapsed=45.76
2026-05-29T10:00:08 | reason=single_frame_over_budget label= fps=30.0 frames=14 seconds=0.038 max_frame_ms=486.54 budget_elapsed_ms=0.66 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1051 score=0 hp=100 elapsed=45.82
2026-05-29T10:00:08 | reason=low_fps_window label= fps=24.6 frames=25 seconds=1.017 max_frame_ms=486.54 budget_elapsed_ms=0.69 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1050 score=0 hp=100 elapsed=46.07
2026-05-29T10:00:09 | reason=single_frame_over_budget label= fps=30.0 frames=1 seconds=0.604 max_frame_ms=604.29 budget_elapsed_ms=1.56 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1050 score=0 hp=100 elapsed=46.19
2026-05-29T10:00:09 | reason=single_frame_over_budget label= fps=30.0 frames=2 seconds=0.044 max_frame_ms=604.29 budget_elapsed_ms=0.76 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1049 score=0 hp=100 elapsed=46.24
2026-05-29T10:00:09 | reason=single_frame_over_budget label= fps=30.0 frames=12 seconds=0.045 max_frame_ms=604.29 budget_elapsed_ms=1.69 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1049 score=0 hp=100 elapsed=46.48
2026-05-29T10:00:10 | reason=single_frame_over_budget label= fps=30.0 frames=15 seconds=0.455 max_frame_ms=604.29 budget_elapsed_ms=1.06 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1049 score=0 hp=100 elapsed=46.68
2026-05-29T10:00:10 | reason=low_fps_window label= fps=10.7 frames=15 seconds=1.399 max_frame_ms=604.29 budget_elapsed_ms=3.63 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1049 score=0 hp=100 elapsed=46.68
2026-05-29T10:00:10 | reason=single_frame_over_budget label= fps=30.0 frames=1 seconds=0.520 max_frame_ms=519.95 budget_elapsed_ms=0.81 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1049 score=0 hp=100 elapsed=46.79
2026-05-29T10:00:11 | reason=single_frame_over_budget label= fps=30.0 frames=2 seconds=0.548 max_frame_ms=548.09 budget_elapsed_ms=0.92 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1049 score=0 hp=100 elapsed=46.93
2026-05-29T10:00:11 | reason=low_fps_window label= fps=1.9 frames=2 seconds=1.068 max_frame_ms=548.09 budget_elapsed_ms=2.33 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1049 score=0 hp=100 elapsed=46.93
2026-05-29T10:00:11 | reason=single_frame_over_budget label= fps=30.0 frames=1 seconds=0.119 max_frame_ms=118.94 budget_elapsed_ms=0.76 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1047 score=0 hp=100 elapsed=47.05
2026-05-29T10:00:11 | reason=single_frame_over_budget label= fps=30.0 frames=25 seconds=0.037 max_frame_ms=118.94 budget_elapsed_ms=0.75 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1049 score=0 hp=100 elapsed=47.57
2026-05-29T10:00:12 | reason=single_frame_over_budget label= fps=30.0 frames=34 seconds=0.034 max_frame_ms=118.94 budget_elapsed_ms=1.17 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1049 score=0 hp=100 elapsed=47.80
2026-05-29T10:00:13 | reason=single_frame_over_budget label= fps=30.0 frames=41 seconds=0.035 max_frame_ms=35.24 budget_elapsed_ms=1.93 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1046 score=0 hp=100 elapsed=49.76
2026-05-29T10:00:14 | reason=single_frame_over_budget label= fps=30.0 frames=19 seconds=0.033 max_frame_ms=33.35 budget_elapsed_ms=1.45 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1046 score=0 hp=100 elapsed=50.33
2026-05-29T10:00:14 | reason=single_frame_over_budget label= fps=30.0 frames=24 seconds=0.184 max_frame_ms=184.00 budget_elapsed_ms=1.03 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1046 score=0 hp=100 elapsed=50.57
2026-05-29T10:00:15 | reason=single_frame_over_budget label= fps=30.0 frames=34 seconds=0.043 max_frame_ms=184.00 budget_elapsed_ms=0.99 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1046 score=0 hp=100 elapsed=50.78
2026-05-29T10:00:15 | reason=single_frame_over_budget label= fps=30.0 frames=8 seconds=0.041 max_frame_ms=40.94 budget_elapsed_ms=0.92 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1046 score=0 hp=100 elapsed=51.10
2026-05-29T10:00:15 | reason=single_frame_over_budget label= fps=30.0 frames=24 seconds=0.041 max_frame_ms=40.94 budget_elapsed_ms=0.98 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1046 score=0 hp=100 elapsed=51.43
2026-05-29T10:00:15 | reason=single_frame_over_budget label= fps=30.0 frames=33 seconds=0.041 max_frame_ms=40.94 budget_elapsed_ms=0.95 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1049 score=0 hp=100 elapsed=51.62
2026-05-29T10:00:16 | reason=single_frame_over_budget label= fps=30.0 frames=14 seconds=0.034 max_frame_ms=33.69 budget_elapsed_ms=0.82 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1047 score=0 hp=100 elapsed=52.21
2026-05-29T10:00:16 | reason=single_frame_over_budget label= fps=30.0 frames=15 seconds=0.042 max_frame_ms=41.83 budget_elapsed_ms=1.14 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=0 nodes=1047 score=0 hp=100 elapsed=52.25
2026-05-29T10:00:16 | reason=single_frame_over_budget label= fps=30.0 frames=23 seconds=0.036 max_frame_ms=41.83 budget_elapsed_ms=0.87 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1050 score=0 hp=100 elapsed=52.44
2026-05-29T10:00:16 | reason=single_frame_over_budget label= fps=30.0 frames=26 seconds=0.039 max_frame_ms=41.83 budget_elapsed_ms=0.95 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=1 nodes=1050 score=0 hp=100 elapsed=52.52
2026-05-29T10:00:19 | reason=single_frame_over_budget label= fps=30.0 frames=5 seconds=0.060 max_frame_ms=59.93 budget_elapsed_ms=0.81 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=8 nodes=1072 score=0 hp=100 elapsed=55.13
2026-05-29T10:00:19 | reason=single_frame_over_budget label= fps=30.0 frames=6 seconds=0.046 max_frame_ms=59.93 budget_elapsed_ms=0.72 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=8 nodes=1073 score=0 hp=100 elapsed=55.16
2026-05-29T10:00:20 | reason=single_frame_over_budget label= fps=30.0 frames=39 seconds=0.131 max_frame_ms=130.77 budget_elapsed_ms=0.81 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=21 projectiles=5 nodes=1066 score=0 hp=100 elapsed=55.89
2026-05-29T10:00:21 | reason=single_frame_over_budget label= fps=30.0 frames=42 seconds=0.058 max_frame_ms=58.37 budget_elapsed_ms=0.71 deferred=0 scene=ExploreRoom path=res://scenes/gameplay/explore/ExploreRoom.tscn enemies=20 projectiles=6 nodes=1068 score=100 hp=100 elapsed=56.84
