"schema_version"	"domain"	"kind"	"id"	"name"	"value"	"stage_1"	"stage_2"	"stage_3"	"unit"	"data_type"	"attributes"	"formula"	"notes"
"1.0"	"pacing"	"target"	"completed_reward_nodes"	"完成奖励节点"	"2"	""	""	""	"count"	"int"	"payload=min=1;max=3"	""	"Boss奖励另计"
"1.0"	"pacing"	"target"	"completed_beacon_nodes"	"激活信标节点"	"2"	""	""	""	"count"	"int"	"payload=max_with_event=3"	""	"默认2个可达信标"
"1.0"	"pacing"	"target"	"completed_shop_nodes"	"商店整理次数"	"2"	""	""	""	"count"	"int"	"payload=min=2;max=3"	""	"不作为结算节点时只计时间"
"1.0"	"pacing"	"target"	"explore_room_minutes"	"探索房P50时长"	"4"	""	""	""	"minutes"	"float"	"payload=min=3;max=5"	""	"按75%搜刮"
"1.0"	"pacing"	"target"	"explore_room_hu_minutes"	"胡局探索房P50时长"	"2.2"	""	""	""	"minutes"	"float"	"payload=min=1.5;max=3"	""	"不要求继续保持4分钟"
"1.0"	"pacing"	"target"	"event_choice_seconds"	"事件选择P50时长"	"32"	""	""	""	"seconds"	"int"	"payload=min=20;max=45"	""	"含阅读和确认"
"1.0"	"pacing"	"target"	"reward_choice_seconds"	"奖励选择P50时长"	"30"	""	""	""	"seconds"	"int"	"payload=min=20;max=40"	""	"三选一"
"1.0"	"pacing"	"target"	"beacon_choice_seconds"	"信标选择P50时长"	"30"	""	""	""	"seconds"	"int"	"payload=min=20;max=45"	""	"三选一"
"1.0"	"pacing"	"target"	"shop_seconds"	"单次商店整理P50"	"60"	""	""	""	"seconds"	"int"	"payload=min=30;max=90"	""	"含装配调整"
"1.0"	"pacing"	"target"	"route_overhead_minutes"	"航图移动和过场预算"	"2"	""	""	""	"minutes"	"float"	""	""	"P50总时长余量"
"1.0"	"pacing"	"derived"	"run_p50_calculated"	"计算完整局时P50"	"48.4"	""	""	""	"minutes"	"float"	""	"8.5*4+6*32/60+2*0.5+2*0.5+2*1+82/60+106/60+126/60+2"	"与48分钟目标一致"
"1.0"	"player"	"base"	"player_max_hp"	"玩家最大生命"	"100"	""	""	""	"hp"	"int"	""	""	"不做局外纵向增长"
"1.0"	"player"	"base"	"player_move_speed"	"玩家移动速度"	"300"	""	""	""	"pixel_per_second"	"float"	""	""	"当前手感锚点"
"1.0"	"player"	"base"	"base_attack"	"脉冲机炮单发伤害"	"10"	""	""	""	"damage"	"int"	""	""	"白板基准"
"1.0"	"player"	"base"	"base_fire_interval"	"脉冲机炮射击间隔"	"0.25"	""	""	""	"seconds"	"float"	""	""	"每秒4发"
"1.0"	"player"	"derived"	"base_single_target_dps"	"白板理论单体DPS"	"40"	""	""	""	"dps"	"float"	""	"base_attack/base_fire_interval"	"靶场实测需接近该值"
"1.0"	"player"	"damage"	"dot_damage"	"轻微擦伤或DoT"	"2"	""	""	""	"damage_per_second"	"int"	"payload=min=1;max=3"	""	"不能单独快速致死"
"1.0"	"player"	"damage"	"normal_hit_damage"	"普通攻击伤害"	"5"	""	""	""	"damage"	"int"	""	""	"满血承受20次"
"1.0"	"player"	"damage"	"danger_hit_damage"	"危险普通攻击伤害"	"10"	""	""	""	"damage"	"int"	"payload=min=8;max=12"	""	"用于高威胁普通怪"
"1.0"	"player"	"damage"	"heavy_hit_damage"	"重击伤害"	"36"	""	""	""	"damage"	"int"	"payload=min=34;max=40"	""	"三次致死且必须预警"
"1.0"	"player"	"derived"	"normal_hits_to_die"	"满血普通攻击承受次数"	"20"	""	""	""	"hit_count"	"float"	""	"100/5"	"第20次归零"
"1.0"	"player"	"derived"	"danger_hits_to_die"	"满血危险攻击承受次数"	"10"	""	""	""	"hit_count"	"float"	""	"100/10"	"不应作为常态弹幕"
"1.0"	"player"	"derived"	"heavy_hits_to_die"	"满血重击承受次数"	"2.78"	""	""	""	"hit_count"	"float"	""	"100/36"	"第三次重击致死"
"1.0"	"player"	"damage"	"normal_iframe"	"普通受击无敌帧"	"1"	""	""	""	"seconds"	"float"	""	""	"阻止同源多段秒杀"
"1.0"	"player"	"damage"	"heavy_iframe"	"重击受击无敌帧"	"0.8"	""	""	""	"seconds"	"float"	"payload=min=0.7;max=1.0"	""	"重击仍只能结算一次"
"1.0"	"player"	"recovery"	"visible_healing_budget"	"阶段新增可见治疗"	""	"32"	"45"	"58"	"hp"	"int"	"payload=ranges=25-40|35-55|45-70"	""	"取区间中位用于模拟"
"1.0"	"player"	"target"	"boss_entry_hp_p50"	"Boss入场生命P50"	"80"	""	""	""	"hp"	"int"	"payload=min=70;max=90"	""	"含正常探索损耗"
"1.0"	"combat"	"dps"	"normal_build_dps"	"正常构筑有效DPS"	""	"78"	"160"	"340"	"dps"	"int"	"payload=ranges=70-85|145-175|300-380"	""	"Boss和敌人HP反推基准"
"1.0"	"combat"	"dps"	"formed_build_dps"	"成型构筑有效DPS"	""	"140"	"320"	"640"	"dps"	"int"	"payload=multipliers=3.5|8|16"	""	"用于单家族成型测试"
"1.0"	"combat"	"dps"	"highroll_build_dps"	"胡局有效DPS"	""	"195"	"525"	"1200"	"dps"	"int"	"payload=ranges=170-220|450-600|1000-1400"	""	"允许破坏普通战斗节奏"
"1.0"	"combat"	"dps"	"normal_build_multiplier"	"正常构筑综合倍率"	""	"1.95"	"4"	"8.5"	"multiplier"	"float"	""	"normal_build_dps/40"	"综合效率而非面板攻击"
"1.0"	"combat"	"dps"	"formed_build_multiplier"	"成型构筑综合倍率"	""	"3.5"	"8"	"16"	"multiplier"	"float"	""	""	""
"1.0"	"combat"	"dps"	"highroll_build_multiplier"	"胡局综合倍率"	""	"4.875"	"13.125"	"30"	"multiplier"	"float"	""	"highroll_build_dps/40"	"终局落在25至35倍中部"
"1.0"	"combat"	"cap"	"pure_stat_efficiency_cap"	"纯攻击射速弹量总效率上限"	"2"	""	""	""	"multiplier"	"float"	""	""	"其余倍率必须来自机制"
"1.0"	"enemy"	"config"	"enemy_base_hp"	"普通怪基础HP"	"240"	""	""	""	"hp"	"int"	""	""	"由3秒标准怪TTK反推"
"1.0"	"enemy"	"config"	"enemy_stage_multiplier"	"普通怪阶段倍率"	""	"1"	"2.1"	"4.3"	"multiplier"	"float"	""	""	"近似跟随正常构筑DPS增长"
"1.0"	"enemy"	"archetype"	"enemy_fragile_hp"	"脆弱普通怪HP"	""	"192"	"403"	"826"	"hp"	"int"	"family=general;rule_key=enemy_hp;payload=behavior_mult=0.8"	"round(240*stage_mult*0.8)"	"TTK约2.5秒"
"1.0"	"enemy"	"archetype"	"enemy_standard_hp"	"标准普通怪HP"	""	"240"	"504"	"1032"	"hp"	"int"	"family=general;rule_key=enemy_hp;payload=behavior_mult=1.0"	"round(240*stage_mult)"	"TTK约3.1秒"
"1.0"	"enemy"	"archetype"	"enemy_durable_hp"	"耐久普通怪HP"	""	"324"	"680"	"1393"	"hp"	"int"	"family=general;rule_key=enemy_hp;payload=behavior_mult=1.35"	"round(240*stage_mult*1.35)"	"TTK约4.2秒"
"1.0"	"enemy"	"archetype"	"enemy_danger_core_hp"	"危险核心HP"	""	"408"	"857"	"1754"	"hp"	"int"	"family=general;rule_key=enemy_hp;payload=behavior_mult=1.7"	"round(240*stage_mult*1.7)"	"TTK约5.3秒"
"1.0"	"enemy"	"derived"	"enemy_fragile_ttk"	"脆弱普通怪TTK"	""	"2.46"	"2.52"	"2.43"	"seconds"	"float"	""	"enemy_fragile_hp/normal_build_dps"	"落入2至5秒"
"1.0"	"enemy"	"derived"	"enemy_standard_ttk"	"标准普通怪TTK"	""	"3.08"	"3.15"	"3.04"	"seconds"	"float"	""	"enemy_standard_hp/normal_build_dps"	"落入2至5秒"
"1.0"	"enemy"	"derived"	"enemy_durable_ttk"	"耐久普通怪TTK"	""	"4.15"	"4.25"	"4.10"	"seconds"	"float"	""	"enemy_durable_hp/normal_build_dps"	"落入2至5秒"
"1.0"	"enemy"	"derived"	"enemy_danger_core_ttk"	"危险核心TTK"	""	"5.23"	"5.36"	"5.16"	"seconds"	"float"	""	"enemy_danger_core_hp/normal_build_dps"	"危险怪落入5至8秒下沿"
"1.0"	"elite"	"budget"	"elite_ehp"	"精英有效生命"	""	"4800"	"9600"	"20400"	"ehp"	"int"	""	"round(normal_build_dps*60)"	"含护盾闪现和不可攻击时间"
"1.0"	"elite"	"target"	"elite_ttk"	"精英目标TTK"	""	"61.5"	"60"	"60"	"seconds"	"float"	""	"elite_ehp/normal_build_dps"	"目标约1分钟"
"1.0"	"elite"	"target"	"elite_room_probability"	"战斗房精英概率"	"0.25"	""	""	""	"ratio"	"float"	"payload=min=0.2;max=0.3"	""	"一局完整精英战2至4场"
"1.0"	"boss"	"budget"	"boss_base_ehp"	"Boss基准EHP"	""	"5600"	"14500"	"36000"	"ehp"	"int"	""	""	"总机制EHP预算"
"1.0"	"boss"	"budget"	"boss_forced_downtime"	"Boss强制不可攻击预算"	""	"10"	"15"	"20"	"seconds"	"int"	""	""	"超出部分必须从EHP扣除"
"1.0"	"boss"	"target"	"boss_normal_ttk"	"Boss正常构筑总TTK"	""	"82"	"106"	"126"	"seconds"	"int"	""	"boss_base_ehp/normal_build_dps+downtime"	"分别位于三阶段目标中段"
"1.0"	"boss"	"target"	"boss_highroll_ttk"	"Boss胡局总TTK"	""	"39"	"43"	"50"	"seconds"	"int"	""	"boss_base_ehp/highroll_build_dps+downtime"	"极端联动允许更快"
"1.0"	"boss"	"family"	"boss_colossus_ehp"	"星间巨构Boss总EHP"	""	"6160"	"15950"	"39600"	"ehp"	"int"	"family=colossus;cap=1.1;rule_key=boss_ehp;payload=family_mult=1.10"	"boss_base_ehp*1.10"	"较慢且厚重"
"1.0"	"boss"	"family"	"boss_paradise_ehp"	"天堂号Boss总EHP"	""	"5320"	"13775"	"34200"	"ehp"	"int"	"family=paradise;cap=0.95;rule_key=boss_ehp;payload=family_mult=0.95"	"boss_base_ehp*0.95"	"弹幕空间压力换取较低EHP"
"1.0"	"boss"	"family"	"boss_warped_ehp"	"扭曲星核Boss总EHP"	""	"5880"	"15225"	"37800"	"ehp"	"int"	"family=warped;cap=1.05;rule_key=boss_ehp;payload=family_mult=1.05"	"boss_base_ehp*1.05"	"护盾和牵引计入总EHP"
"1.0"	"boss"	"family"	"boss_hell_eye_ehp"	"地狱之眼Boss总EHP"	""	"5600"	"14500"	"36000"	"ehp"	"int"	"family=hell_eye;cap=1.0;rule_key=boss_ehp;payload=family_mult=1.00"	"boss_base_ehp"	"依靠节奏干扰"
"1.0"	"boss"	"family"	"boss_divine_ehp"	"神明使者Boss总EHP"	""	"5040"	"13050"	"32400"	"ehp"	"int"	"family=divine;cap=0.9;rule_key=boss_ehp;payload=family_mult=0.90"	"boss_base_ehp*0.90"	"闪现和召唤已计入预算"
"1.0"	"dash"	"config"	"dash_charges"	"冲刺充能数"	"2"	""	""	""	"count"	"int"	""	""	"默认用于躲避"
"1.0"	"dash"	"config"	"dash_charge_seconds"	"单次充能恢复"	"1.8"	""	""	""	"seconds"	"float"	""	""	"两次完整恢复3.6秒"
"1.0"	"dash"	"config"	"dash_distance"	"冲刺距离"	"420"	""	""	""	"pixel"	"float"	""	""	""
"1.0"	"dash"	"config"	"dash_speed"	"冲刺速度"	"2400"	""	""	""	"pixel_per_second"	"float"	""	""	""
"1.0"	"dash"	"derived"	"dash_duration"	"冲刺持续时间"	"0.175"	""	""	""	"seconds"	"float"	""	"dash_distance/dash_speed"	"实际实现可取0.18"
"1.0"	"dash"	"config"	"dash_invulnerable_tail"	"冲刺额外无敌尾帧"	"0.05"	""	""	""	"seconds"	"float"	""	""	"不得更长"
"1.0"	"dash"	"config"	"dash_base_damage_mult"	"基础冲刺撞击倍率"	"0.75"	""	""	""	"attack_multiplier"	"float"	"payload=min=0.5;max=1.0"	""	"无巨构时不能成为主输出"
"1.0"	"dash"	"config"	"dash_enemy_hit_radius"	"普通敌人命中半径"	"52"	""	""	""	"pixel"	"float"	""	""	"当前手感锚点"
"1.0"	"dash"	"config"	"dash_boss_hit_radius"	"Boss命中半径"	"120"	""	""	""	"pixel"	"float"	""	""	"补偿Boss体型"
"1.0"	"dash"	"target"	"dash_default_dps_share"	"默认冲刺伤害占比上限"	"0.1"	""	""	""	"ratio"	"float"	""	""	"普通构筑总伤害不超过10%"
"1.0"	"frenzy"	"config"	"frenzy_max_heat"	"热量上限"	"100"	""	""	""	"heat"	"float"	""	""	""
"1.0"	"frenzy"	"config"	"frenzy_duration"	"狂热持续时间"	"5"	""	""	""	"seconds"	"float"	""	""	"保持短爆发窗口"
"1.0"	"frenzy"	"target"	"frenzy_standard_charge_seconds"	"标准构筑充能时间"	"10"	""	""	""	"seconds"	"float"	""	""	"与5秒爆发形成1比2节拍"
"1.0"	"frenzy"	"derived"	"frenzy_standard_uptime"	"标准狂热覆盖率"	"0.333"	""	""	""	"ratio"	"float"	""	"5/(10+5)"	"目标范围25%至40%"
"1.0"	"frenzy"	"target"	"frenzy_hell_eye_uptime"	"地狱之眼成型覆盖率"	"0.58"	""	""	""	"ratio"	"float"	"payload=min=0.5;max=0.7"	""	"有效获取约20至24热量每秒"
"1.0"	"frenzy"	"config"	"frenzy_primary_hit_heat"	"主体直接命中热量"	"2.5"	""	""	""	"heat"	"float"	""	""	""
"1.0"	"frenzy"	"config"	"frenzy_secondary_hit_heat"	"次级命中基础热量"	"1"	""	""	""	"heat"	"float"	""	"1*proc_coefficient"	"按触发系数衰减"
"1.0"	"frenzy"	"config"	"frenzy_normal_kill_heat"	"普通击杀热量"	"3"	""	""	""	"heat"	"float"	""	""	""
"1.0"	"frenzy"	"config"	"frenzy_elite_kill_heat"	"精英击杀热量"	"12"	""	""	""	"heat"	"float"	""	""	""
"1.0"	"frenzy"	"config"	"frenzy_damage_heat_cap"	"单次受伤热量上限"	"8"	""	""	""	"heat"	"float"	""	"min(damage*0.5|8)"	"防止重击直接充满"
"1.0"	"frenzy"	"config"	"frenzy_standard_gain_cap"	"非地狱热量每秒上限"	"12"	""	""	""	"heat_per_second"	"float"	""	""	""
"1.0"	"frenzy"	"config"	"frenzy_hell_eye_gain_cap"	"地狱成型热量每秒上限"	"24"	""	""	""	"heat_per_second"	"float"	"payload=early=18;formed=24"	""	"足以支持约55%覆盖"
"1.0"	"frenzy"	"config"	"frenzy_fire_interval_mult"	"狂热射击间隔倍率"	"0.625"	""	""	""	"multiplier"	"float"	"payload=min=0.60;max=0.65"	""	"取区间中位"
"1.0"	"frenzy"	"config"	"frenzy_damage_taken_mult"	"狂热承伤倍率"	"0.6"	""	""	""	"multiplier"	"float"	""	""	""
"1.0"	"frenzy"	"config"	"frenzy_base_damage_mult"	"狂热基础伤害倍率"	"1"	""	""	""	"multiplier"	"float"	""	""	"独立伤害乘区留给装备"
"1.0"	"mechanic"	"cap"	"max_trigger_generation"	"最大触发世代"	"3"	""	""	""	"generation"	"int"	""	""	"世代0至3"
"1.0"	"mechanic"	"config"	"generation_proc_coefficients"	"世代触发系数"	""	""	""	""	"ratio"	"array"	"payload=0=1.0;1=0.65;2=0.35;3=0.15"	""	"同谱系逐代衰减"
"1.0"	"mechanic"	"cap"	"projectile_soft_cap"	"玩家弹体软预算"	"180"	""	""	""	"projectile_per_second"	"int"	""	""	"超过后合并纯视觉弹体"
"1.0"	"mechanic"	"cap"	"projectile_hard_cap"	"玩家弹体硬上限"	"260"	""	""	""	"projectile_per_second"	"int"	""	""	"不能静默删除主体攻击"
"1.0"	"mechanic"	"config"	"default_copy_proc"	"复制命中默认触发系数"	"0.35"	""	""	""	"ratio"	"float"	""	""	"僚机和信标复制的默认值"
"1.0"	"mechanic"	"config"	"cross_family_inherit_min"	"跨家族继承下限"	"0.35"	""	""	""	"ratio"	"float"	""	""	""
"1.0"	"mechanic"	"config"	"cross_family_inherit_max"	"跨家族继承上限"	"0.65"	""	""	""	"ratio"	"float"	""	""	""
"1.0"	"exploration"	"config"	"salvage_normal_value"	"普通矿脉回收价值"	"1"	""	""	""	"salvage_point"	"int"	""	""	""
"1.0"	"exploration"	"config"	"salvage_chest_value"	"宝箱回收价值"	"3"	""	""	""	"salvage_point"	"int"	""	""	""
"1.0"	"exploration"	"config"	"salvage_elite_cache_value"	"精英缓存回收价值"	"5"	""	""	""	"salvage_point"	"int"	""	""	""
"1.0"	"exploration"	"config"	"salvage_special_value"	"特殊目标回收价值"	"5"	""	""	""	"salvage_point"	"int"	"payload=min=3;max=8"	""	"由房间档案指定"
"1.0"	"exploration"	"config"	"salvage_reveal_ratio"	"显露撤离和高价值目标"	"0.5"	""	""	""	"ratio"	"float"	""	""	""
"1.0"	"exploration"	"config"	"salvage_evac_ratio"	"激活撤离点"	"0.65"	""	""	""	"ratio"	"float"	""	""	""
"1.0"	"exploration"	"target"	"salvage_p50_ratio"	"实际搜刮P50"	"0.75"	""	""	""	"ratio"	"float"	"payload=min=0.70;max=0.80"	""	"主经济计算使用75%"
"1.0"	"exploration"	"config"	"frontload_reward_share"	"前70%内容收益占比"	"0.825"	""	""	""	"ratio"	"float"	"payload=min=0.80;max=0.85"	""	"减少强制清图"
"1.0"	"exploration"	"config"	"tail_reward_share"	"后30%内容收益占比"	"0.175"	""	""	""	"ratio"	"float"	"payload=min=0.15;max=0.20"	""	"提供额外求胡机会"
"1.0"	"exploration"	"config"	"patrol_spawn_interval"	"巡逻基础生成间隔"	""	"35"	"30"	"25"	"seconds"	"float"	""	""	"战斗档案最多浮动25%"
"1.0"	"exploration"	"config"	"patrol_enemy_cap"	"常态同时敌人数上限"	""	"8"	"10"	"12"	"count"	"int"	""	""	""
"1.0"	"economy"	"base"	"starting_minerals"	"开局矿物"	"0"	""	""	""	"minerals"	"int"	""	""	"不做默认购买礼包"
"1.0"	"economy"	"base"	"starting_compute"	"开局算力"	"5"	""	""	""	"compute"	"int"	""	""	"每结算节点加1"
"1.0"	"economy"	"progression"	"compute_before_boss"	"Boss前可用算力"	""	"10"	"17"	"26"	"compute"	"int"	""	"5+cumulative_completed_nodes"	"支撑3/5/8平均3算力装备"
"1.0"	"economy"	"target"	"equipped_aux_before_boss"	"Boss前累计装配"	""	"3"	"5"	"8"	"equipment_count"	"int"	""	""	"用户确认的累计目标"
"1.0"	"economy"	"target"	"owned_aux_before_boss"	"Boss前累计拥有"	""	"5"	"9"	"16"	"equipment_count"	"int"	"payload=ranges=4-6|8-11|14-18"	""	"用于草案和保底模拟"
"1.0"	"economy"	"target"	"used_compute_before_boss"	"Boss前已用算力"	""	"9"	"16"	"25"	"compute"	"int"	"payload=ranges=8-10|15-17|23-26"	""	"保留少量换装余地"
"1.0"	"economy"	"target"	"explore_income_p50"	"75%搜刮单房收入"	""	"65"	"100"	"148"	"minerals"	"int"	"payload=ranges=55-75|85-115|125-170"	""	"取区间中位"
"1.0"	"economy"	"target"	"cumulative_income_before_boss"	"累计毛收入P50"	""	"210"	"575"	"1250"	"minerals"	"int"	"payload=ranges=180-240|500-650|1100-1400"	""	"包含事件和奖励"
"1.0"	"economy"	"target"	"safe_event_value_p50"	"安全事件等价价值P50"	""	"38"	"55"	"78"	"minerals_equivalent"	"int"	"payload=ranges=30-45|45-65|65-90"	""	"用于事件抽取模拟"
"1.0"	"economy"	"target"	"risk_event_success_value_p50"	"风险事件成功等价价值P50"	""	"55"	"82"	"118"	"minerals_equivalent"	"int"	"payload=ranges=45-65|70-95|100-135"	""	"约为安全事件的1.25至1.45倍"
"1.0"	"economy"	"target"	"reward_node_value_p50"	"奖励节点等价价值P50"	""	"68"	"102"	"150"	"minerals_equivalent"	"int"	"payload=ranges=55-80|85-120|125-175"	""	"奖励节点不含隐性惩罚"
"1.0"	"economy"	"price"	"common_equipment_price"	"普通装备价格"	"70"	""	""	""	"minerals"	"int"	"payload=min=50;max=90"	""	"规则简单且可独立启动"
"1.0"	"economy"	"price"	"rare_equipment_price"	"稀有装备价格"	"128"	""	""	""	"minerals"	"int"	"payload=min=100;max=155"	""	"提供放大或桥接"
"1.0"	"economy"	"price"	"epic_equipment_price"	"史诗装备价格"	"195"	""	""	""	"minerals"	"int"	"payload=min=170;max=220"	""	"规则复杂但不纯堆倍率"
"1.0"	"economy"	"price"	"boss_equipment_price"	"Boss装备价格"	"0"	""	""	""	"minerals"	"int"	"payload=purchasable=false"	""	"只能Boss奖励获得"
"1.0"	"economy"	"config"	"shop_offer_count"	"商店总槽位"	"12"	""	""	""	"count"	"int"	""	""	""
"1.0"	"economy"	"config"	"shop_general_slots"	"商店通用候选"	"5"	""	""	""	"count"	"int"	""	""	""
"1.0"	"economy"	"config"	"shop_family_slots"	"商店主家族候选"	"3"	""	""	""	"count"	"int"	""	""	""
"1.0"	"economy"	"config"	"shop_build_slots"	"商店构筑补齐候选"	"2"	""	""	""	"count"	"int"	"payload=roles=amplifier|bridge"	""	"根据已有启动器生成"
"1.0"	"economy"	"config"	"shop_survival_slots"	"商店生存经济候选"	"1"	""	""	""	"count"	"int"	""	""	""
"1.0"	"economy"	"config"	"shop_wildcard_slots"	"商店通配候选"	"1"	""	""	""	"count"	"int"	"payload=epic_guarantee_crisis=12"	""	""
"1.0"	"economy"	"config"	"reroll_base"	"付费重抽基础项"	"18"	""	""	""	"minerals"	"int"	""	""	""
"1.0"	"economy"	"config"	"reroll_stage_step"	"付费重抽阶段增量"	"10"	""	""	""	"minerals"	"int"	""	""	"阶段从1开始"
"1.0"	"economy"	"config"	"reroll_repeat_step"	"本局已付费重抽增量"	"14"	""	""	""	"minerals"	"int"	""	""	"次数从0开始"
"1.0"	"economy"	"derived"	"first_reroll_cost"	"各阶段首次重抽"	""	"28"	"38"	"48"	"minerals"	"int"	""	"18+stage*10+0*14"	""
"1.0"	"economy"	"derived"	"second_reroll_cost"	"各阶段第二次重抽"	""	"42"	"52"	"62"	"minerals"	"int"	""	"18+stage*10+1*14"	""
"1.0"	"economy"	"config"	"equipment_drop_chance"	"基础装备检出率"	""	"0.28"	"0.36"	"0.48"	"ratio"	"float"	""	""	"按节点阶段"
"1.0"	"economy"	"cap"	"equipment_drop_chance_cap"	"装备检出率硬上限"	"0.85"	""	""	""	"ratio"	"float"	""	""	"保留非装备结果"
"1.0"	"economy"	"pity"	"equipment_dry_nodes"	"装备保底连续空窗"	"3"	""	""	""	"completed_node"	"int"	""	""	"下一奖励锁定装备草案"
"1.0"	"economy"	"pity"	"starter_dry_drafts"	"启动器保底空窗"	"4"	""	""	""	"draft"	"int"	""	""	"下一构筑卡必含启动器"
"1.0"	"economy"	"pity"	"amplifier_dry_drafts"	"匹配放大器保底空窗"	"4"	""	""	""	"draft"	"int"	""	""	"已有启动器时计数"
"1.0"	"equipment"	"budget"	"common_aux_budget"	"普通辅助机预算"	"1"	""	""	""	"tier"	"record"	"family=general;payload=price=50-90;compute=2-3;solo_efficiency=1.12-1.20"	""	"单一清晰规则"
"1.0"	"equipment"	"budget"	"rare_aux_budget"	"稀有辅助机预算"	"2"	""	""	""	"tier"	"record"	"family=general;payload=price=100-155;compute=3-5;loop_efficiency=1.25-1.45"	""	"强化循环或桥接"
"1.0"	"equipment"	"budget"	"epic_aux_budget"	"史诗辅助机预算"	"3"	""	""	""	"tier"	"record"	"family=general;payload=price=170-220;compute=5-7;loop_efficiency=1.45-1.80"	""	"规则复杂且有条件"
"1.0"	"equipment"	"budget"	"boss_aux_budget"	"Boss辅助机预算"	"4"	""	""	""	"tier"	"record"	"family=general;payload=price=0;compute=4-6;rule_change=1"	""	"不得只是史诗数值放大"
"1.0"	"equipment"	"role"	"starter_role"	"启动器数值职责"	""	""	""	""	"record"	"record"	"family=general;role=starter;payload=independent_efficiency=1.10-1.20;min_per_family=2"	""	"单件即可产生新行为"
"1.0"	"equipment"	"role"	"amplifier_role"	"放大器数值职责"	""	""	""	""	"record"	"record"	"family=general;role=amplifier;payload=inactive_efficiency=1.00-1.08;active_efficiency=1.25-1.45;min_per_family=2"	""	"必须识别匹配启动器"
"1.0"	"equipment"	"role"	"bridge_role"	"桥接器数值职责"	""	""	""	""	"record"	"record"	"family=general;role=bridge;payload=inherit=0.35-0.65;min_per_family=2"	""	"默认触发系数0.5"
"1.0"	"equipment"	"role"	"stabilizer_role"	"稳定器数值职责"	""	""	""	""	"record"	"record"	"family=general;role=stabilizer;payload=survival_or_economy=1;damage_budget_max=0.10"	""	"补齐容错而非主伤害"
"1.0"	"reward"	"pool"	"stable_supply"	"稳定补给"	""	""	""	""	"record"	"record"	"family=general;role=stabilizer;weight=1;risk=0;payload=minerals=45/70/105;repair=26/34/42;mixed_share=0.5"	""	"三选一最多一张纯矿物"
"1.0"	"reward"	"pool"	"equipment_draft"	"装备三选一"	""	""	""	""	"record"	"record"	"family=general;weight=1;risk=0;payload=candidates=3;family_match_min=1;missing_role_min=1;duplicates=0"	""	"常规求胡入口"
"1.0"	"reward"	"pool"	"mechanic_starter"	"机制启动器"	""	""	""	""	"record"	"record"	"family=general;role=starter;weight=0.8;risk=0;payload=candidates=3;rarity=common|rare;affordable_compute=1"	""	"第一Boss前构筑修复"
"1.0"	"reward"	"pool"	"mechanic_amplifier"	"机制放大器"	""	""	""	""	"record"	"record"	"family=general;role=amplifier;weight=0.75;risk=0;payload=matching_amplifiers=2;general_stabilizer=1"	""	"根据已有启动器生成"
"1.0"	"reward"	"pool"	"cross_family_bridge"	"跨家族桥接"	""	""	""	""	"record"	"record"	"family=general;role=bridge;weight=0.45;risk=1;payload=matching_bridges=2;general_bridge=1;stage_min=2"	""	"第一阶段默认不出现"
